year,floods,severity,deaths,displaced,floods_coef,floods_trendline,severity_coef,severity_trendline,deaths_coef,deaths_trendline,displaced_coef,displaced_trendline
1985,69,1.289855072463768,43.971014492753625,84517.52173913043,0,138.64864864864865,0.007700728079435425,1.1153427144850934,0,129.638486733161,-4780.859928984277,221462.26099948026
1986,47,1.2340425531914894,33.06382978723404,188574.085106383,0,138.64864864864865,0.007700728079435425,1.12304344256453,0,129.638486733161,-4780.859928984277,216681.40107049607
1987,45,1.2222222222222223,71.5111111111111,32267.022222222222,0,138.64864864864865,0.007700728079435425,1.1307441706439647,0,129.638486733161,-4780.859928984277,211900.54114151187
1988,111,1.162162162162162,56.11711711711712,183041.97297297296,0,138.64864864864865,0.007700728079435425,1.1384448987233995,0,129.638486733161,-4780.859928984277,207119.68121252768
1989,112,1.0535714285714286,87.83928571428571,78062.66071428571,0,138.64864864864865,0.007700728079435425,1.146145626802836,0,129.638486733161,-4780.859928984277,202338.82128354348
1990,105,1.1428571428571428,39.714285714285715,142214.15238095238,0,138.64864864864865,0.007700728079435425,1.1538463548822708,0,129.638486733161,-4780.859928984277,197557.9613545593
1991,122,1.1147540983606556,1230.8934426229507,145939.61475409835,0,138.64864864864865,0.007700728079435425,1.1615470829617056,0,129.638486733161,-4780.859928984277,192777.1014255751
1992,109,1.238532110091743,80,119986.46788990825,0,138.64864864864865,0.007700728079435425,1.1692478110411422,0,129.638486733161,-4780.859928984277,187996.24149658903
1993,99,1.1717171717171717,75.28282828282828,354565.71717171714,0,138.64864864864865,0.007700728079435425,1.176948539120577,0,129.638486733161,-4780.859928984277,183215.38156760484
1994,107,1.1308411214953271,59.822429906542055,80136.18691588785,0,138.64864864864865,0.007700728079435425,1.1846492672000117,0,129.638486733161,-4780.859928984277,178434.52163862064
1995,115,1.191304347826087,65.08695652173913,422431.5739130435,0,138.64864864864865,0.007700728079435425,1.1923499952794483,0,129.638486733161,-4780.859928984277,173653.66170963645
1996,100,1.18,58.63,128147.53,0,138.64864864864865,0.007700728079435425,1.200050723358883,0,129.638486733161,-4780.859928984277,168872.80178065225
1997,159,1.1446540880503144,65.16352201257861,40726.666666666664,0,138.64864864864865,0.007700728079435425,1.2077514514383196,0,129.638486733161,-4780.859928984277,164091.94185166806
1998,183,1.2240437158469946,116.56284153005464,234193.99453551913,0,138.64864864864865,0.007700728079435425,1.2154521795177544,0,129.638486733161,-4780.859928984277,159311.08192268386
1999,97,1.2783505154639174,348.2474226804124,588651.7628865979,0,138.64864864864865,0.007700728079435425,1.2231529075971892,0,129.638486733161,-4780.859928984277,154530.22199369967
2000,102,1.1764705882352942,104.88235294117646,492728.04901960783,0,138.64864864864865,0.007700728079435425,1.2308536356766258,0,129.638486733161,-4780.859928984277,149749.36206471547
2001,172,1.180232558139535,32.69767441860465,220889.93604651163,0,138.64864864864865,0.007700728079435425,1.2385543637560605,0,129.638486733161,-4780.859928984277,144968.50213573128
2002,260,1.1576923076923078,17.1,78909.37692307692,0,138.64864864864865,0.007700728079435425,1.2462550918354953,0,129.638486733161,-4780.859928984277,140187.64220674708
2003,297,1.1026936026936027,15.363636363636363,72990.14814814815,0,138.64864864864865,0.007700728079435425,1.2539558199149319,0,129.638486733161,-4780.859928984277,135406.7822777629
2004,194,1.1701030927835052,892.3865979381443,262979.6494845361,0,138.64864864864865,0.007700728079435425,1.2616565479943667,0,129.638486733161,-4780.859928984277,130625.9223487787
2005,171,1.2046783625730995,59.29824561403509,113262.93567251462,0,138.64864864864865,0.007700728079435425,1.2693572760738014,0,129.638486733161,-4780.859928984277,125845.0624197945
2006,232,1.168103448275862,34.44827586206897,80648.25862068965,0,138.64864864864865,0.007700728079435425,1.277058004153238,0,129.638486733161,-4780.859928984277,121064.2024908103
2007,242,1.072314049586777,51.35950413223141,147113.51652892563,0,138.64864864864865,0.007700728079435425,1.2847587322326728,0,129.638486733161,-4780.859928984277,116283.34256182611
2008,180,1.3888888888888888,597.8833333333333,123925.71111111112,0,138.64864864864865,0.007700728079435425,1.2924594603121093,0,129.638486733161,-4780.859928984277,111502.48263284191
2009,156,1.2724358974358974,24.391025641025642,54516.94871794872,0,138.64864864864865,0.007700728079435425,1.3001601883915441,0,129.638486733161,-4780.859928984277,106721.62270385772
2010,177,1.3700564971751412,46.01129943502825,119664.85310734464,0,138.64864864864865,0.007700728079435425,1.307860916470979,0,129.638486733161,-4780.859928984277,101940.76277487352
2011,124,1.4193548387096775,125.83064516129032,63975.52419354839,0,138.64864864864865,0.007700728079435425,1.3155616445504155,0,129.638486733161,-4780.859928984277,97159.90284588933
2012,124,1.3790322580645162,21.427419354838708,49280.25,0,138.64864864864865,0.007700728079435425,1.3232623726298502,0,129.638486733161,-4780.859928984277,92379.04291690513
2013,102,1.4166666666666667,93.73529411764706,68811.01960784313,0,138.64864864864865,0.007700728079435425,1.330963100709285,0,129.638486733161,-4780.859928984277,87598.18298792094
2014,102,1.4166666666666667,17.558823529411764,38972.10784313725,0,138.64864864864865,0.007700728079435425,1.3386638287887216,0,129.638486733161,-4780.859928984277,82817.32305893488
2015,102,1.4313725490196079,25.58823529411765,27064.519607843136,0,138.64864864864865,0.007700728079435425,1.3463645568681564,0,129.638486733161,-4780.859928984277,78036.46312995069
2016,113,1.3539823008849559,58.14159292035398,28946.283185840708,0,138.64864864864865,0.007700728079435425,1.3540652849475912,0,129.638486733161,-4780.859928984277,73255.60320096649
2017,123,1.3373983739837398,20.642276422764226,21196.08130081301,0,138.64864864864865,0.007700728079435425,1.3617660130270277,0,129.638486733161,-4780.859928984277,68474.7432719823
2018,159,1.3459119496855345,15.534591194968554,34632.56603773585,0,138.64864864864865,0.007700728079435425,1.3694667411064625,0,129.638486733161,-4780.859928984277,63693.8833429981
2019,142,1.3838028169014085,14.43661971830986,37751.42957746479,0,138.64864864864865,0.007700728079435425,1.377167469185899,0,129.638486733161,-4780.859928984277,58913.02341401391
2020,153,1.434640522875817,86.43137254901961,19502.183006535946,0,138.64864864864865,0.007700728079435425,1.3848681972653338,0,129.638486733161,-4780.859928984277,54132.16348502971
2021,123,1.434959349593496,9.56910569105691,28832.666666666668,0,138.64864864864865,0.007700728079435425,1.3925689253447686,0,129.638486733161,-4780.859928984277,49351.30355604552
